Changing h and fix dt
h,dt,rms of S,rms of I,times of S,times of I,order of S,order of I,seconds
0.5,0.0001,5.27868776839154e-05,0.00048666167300897293,0.0,0.0,-inf,-inf,0.37922770799923455
0.25,0.0001,7.435253721181092e-05,0.00017846841384720316,0.7099539526612172,2.7268784571909253,-0.4942026398779963,1.4472503976804976,1.2818050000005314
0.125,0.0001,2.5325388910943457e-05,5.148667241970519e-05,2.935889256163886,3.466303131660515,1.5537975497218464,1.7933978251329594,4.834942250001404
0.0625,0.0001,6.997007786452173e-06,1.3744518409555424e-05,3.6194598725442715,3.7459786429410853,1.8557744217998122,1.9053426743244666,19.51780704199882
0.03125,0.0001,1.818546818004503e-06,3.5471797511395593e-06,3.847581880861341,3.874773587422484,1.943952029050076,1.9541120126201894,79.62951966699984
0.015625,0.0001,4.604980698877201e-07,9.005522565846549e-07,3.9490867322156338,3.938893856745461,1.9815190534815486,1.9777905404832599,323.9607379170011

Fix h and changing dt
h,dt,rms of S,rms of I,times of S,times of I,order of S,order of I,seconds
0.015625,0.5,0.07034209681038997,0.01022464812321536,0.0,0.0,-inf,-inf,0.08556200000020908
0.015625,0.25,0.022823575243033665,0.0030414242652688794,3.0819928981924147,3.3617960637633835,1.623863537467757,1.749232209190055,0.15000899999904505
0.015625,0.125,0.006082180062167997,0.0008431853605152535,3.752531988488711,3.6070648373334264,1.9078643701637057,1.850825355939094,0.2817480419998901
0.015625,0.0625,0.0015488455189845967,0.00021727470110563359,3.926912004855976,3.880734186836219,1.973395270125456,1.9563296182646945,0.5435078749997047
0.015625,0.03125,0.0003889872319677945,5.425391724107626e-05,3.9817387093899024,4.004774441266195,1.9933985512855086,2.001720988793653,1.068257499999163
0.015625,0.015625,9.71174938907569e-05,1.3057850723484778e-05,4.005326088885168,4.154888763087146,2.0019197027255125,2.0548098529063874,2.1169865840001876
