Changing h and fix dt
h,dt,rms of S,rms of I,times of S,times of I,order of S,order of I,seconds
0.25,0.0001,0.00012392404335388502,0.00029744752102779377,0.0,0.0,-inf,-inf,1.5257428329999811
0.125,0.0001,3.2564403956925014e-05,6.619728314967029e-05,3.8055062674510225,4.493349377424945,1.9280883961611277,2.1677912420264995,14.95320395799996
0.0625,0.0001,7.933066437882505e-06,1.5577241692941248e-05,4.104894899331904,4.249615204960661,2.037345284084989,2.0873322137143853,56.231432874999996
0.03125,0.0001,1.938933277680076e-06,3.776146076142296e-06,4.091459221007533,4.125169254271786,2.0326154728624326,2.0444533138527876,329.41252012499996
0.015625,0.0001,4.781334862116412e-07,9.292551803897324e-07,4.05521331091591,4.063626607449817,2.0197778045797925,2.0227678439582712,6655.7885255

Fix h and changing dt
h,dt,rms of S,rms of I,times of S,times of I,order of S,order of I,seconds
0.015625,0.5,0.003857086103198597,0.012836144363472305,0.0,0.0,-inf,-inf,1.638320584000212
0.015625,0.25,0.0009483579056475639,0.0032456739790512764,4.067120735989306,3.9548471122858624,2.024007819083199,1.9836219236208528,2.9962573749999137
0.015625,0.125,0.00023803545286951724,0.000812986290957761,3.984103603959452,3.992286235512804,1.9942551642170083,1.997215161494514,5.850527292000152
0.015625,0.0625,5.926794937074131e-05,0.0002028693455819635,4.01625930029271,4.007437834560852,2.0058524164923637,2.002680140725077,10.921399874999224
0.015625,0.03125,1.4474765824936682e-05,5.024847849415818e-05,4.094570515858454,4.037323152094024,2.0337121338843414,2.0133990664481005,21.648115791000237
0.015625,0.015625,3.2719427600065917e-06,1.2101327730461037e-05,4.423905577403048,4.152311185463929,2.14532059342386,2.053914567227244,42.149938792000285
