
Spatial convergence (fixed dt)
h,dt,RMS of S,RMS of I,order of S,order of I,seconds
0.5,0.0001,0.04624847677997026,0.09260947017742031,NaN,NaN,1.2067911249978351
0.25,0.0001,0.010949742217719266,0.021731685485080678,2.07850894458014,2.091359657317154,2.5940844590004417
0.125,0.0001,0.002718906516137757,0.005335290949528734,2.009798452541189,2.026161219837814,7.286611332998291
0.0625,0.0001,0.0006793552719322039,0.001325260156485351,2.000788407325189,2.009291350580637,23.948611125000753
0.03125,0.0001,0.00016987589648437973,0.0003304451137151495,1.9996850712204983,2.0037930292025155,86.58028695800022
0.015625,0.0001,4.247760434045502e-05,8.251668295629257e-05,1.9997068563574683,2.001652929435364,337.00310075000016
Temporal convergence (fixed h)
h,dt,RMS of S,RMS of I,order of S,order of I,seconds
0.00390625,0.5,0.055243571087591675,0.11253279461903214,NaN,NaN,1.3474323749978794
0.00390625,0.25,0.013169557010776161,0.025385540894366523,2.068599764208487,2.1482665916303203,2.3661197909968905
0.00390625,0.125,0.0032197997367089588,0.006198489752938099,2.032163953638725,2.034018345898258,4.445242583999061
0.00390625,0.0625,0.0007994659826267974,0.001545968088798219,2.00986240591888,2.003406209065727,8.737413374998141
0.00390625,0.03125,0.0001988860474830378,0.0003900357052630668,2.0070945782933842,1.9868324354902458,17.00651837499754
0.00390625,0.015625,4.912915986401019e-05,0.00010127074919720312,2.0172905963476246,1.945388669786259,33.73151458399661
