
Spatial convergence (fixed dt)
h,dt,RMS of S,RMS of I,order of S,order of I,seconds
0.5,0.0001,0.4423272562468195,0.5282904050299315,NaN,NaN,1.2443357909996848
0.25,0.0001,0.0828358624319122,0.06457148815749404,2.416786744675604,3.0323620255734824,2.868718040999738
0.125,0.0001,0.0187301052015731,0.013802793530803282,2.1448964913868296,2.2259369949074403,8.451147166999363
0.0625,0.0001,0.004436808577752021,0.003225938252122073,2.077764787013233,2.097169552713113,28.89244775000043
0.03125,0.0001,0.001077790963545114,0.0007810733932057917,2.041444914683961,2.0461888020133627,106.54553866699825
0.015625,0.0001,0.0002654403279771138,0.0001922236154973428,2.0216179168848956,2.022672528632899,416.2496418749997
Temporal convergence (fixed h)
h,dt,RMS of S,RMS of I,order of S,order of I,seconds
0.00390625,0.5,0.3325739888117038,0.12464749233284474,NaN,NaN,1.6842742090011598
0.00390625,0.25,0.10253597947748629,0.04850986810452512,1.6975451026933075,1.3615036968316325,2.949982750000345
0.00390625,0.125,0.02710356729052979,0.013187721232999279,1.9195755822649199,1.8790829607211583,5.5021420840002975
0.00390625,0.0625,0.00686305906039856,0.0033629339547994047,1.9815590722540657,1.97140294527854,10.663385125000787
0.00390625,0.03125,0.001709940218587826,0.0008528186013742466,2.0049058821500036,1.97940963472183,20.847462624999025
0.00390625,0.015625,0.00041574975232691206,0.000222074090654174,2.0401585785953937,1.9411978222668007,41.529739374998826
